hostname,role,os,vcpu,memory_gb,disk_gb,datacenter
flt-wrk-001,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-002,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-003,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-004,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-005,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-006,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-007,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-008,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-009,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-010,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-011,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-012,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-013,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-014,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-015,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-016,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-017,eta-calc,Ubuntu 22.04,,8,60,DC-South
flt-wrk-018,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-019,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-020,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-021,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-022,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-023,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-024,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-025,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-026,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-027,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-028,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-029,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-030,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-031,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-032,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-033,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-034,cache,Ubuntu 22.04,,16,120,DC-South
flt-wrk-035,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-036,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-037,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-038,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-039,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-040,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-041,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-042,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-043,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-044,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-045,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-046,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-047,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-048,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-049,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-050,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-051,geofence,Ubuntu 22.04,,8,60,DC-South
flt-wrk-052,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-053,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-054,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-055,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-056,geofence,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-057,eta-calc,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-058,notify,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-059,cache,Ubuntu 22.04,4,16,120,DC-South
flt-wrk-060,gps-decoder,Ubuntu 22.04,2,8,60,DC-South
flt-wrk-023,geofence,Ubuntu 22.04,2,12,60,DC-South
