Server;Window;CPU P95 (%);CPU Avg (%);Memory P95 (%);Disk IOPS P95;Samples
ord-api-01;2026-08-21..2026-09-20;58,4;32,1;71,2;900;43200
ord-api-02;2026-08-21..2026-09-20;71,0;39,1;69,5;850;43200
ord-api-03;2026-08-21..2026-09-20;6,1;3,4;22,0;40;43200
ord-api-dev-01;2026-08-21..2026-09-20;9,0;5,0;40,0;30;43200
pay-svc-01;2026-08-21..2026-09-20;55,0;30,3;62,3;400;43200
pay-db-01;2026-08-21..2026-09-20;44,0;24,2;88,1;5200;43200
idp-01;2026-08-21..2026-09-20;23,0;12,7;41,0;150;43200
idp-02;2026-08-21..2026-09-20;19,0;10,5;38,0;140;43200
fleet-ing-01.dcs.zephyr.local;2026-08-21..2026-09-20;76,0;41,8;54,0;600;43200
fleet-ing-02.dcs.zephyr.local;2026-08-21..2026-09-20;74,2;40,8;52,0;610;43200
fleet-ing-stg-01.dcs.zephyr.local;2026-08-21..2026-09-20;12,0;6,6;30,0;60;43200
kafka-01.dcs.zephyr.local;2026-08-21..2026-09-20;48,0;26,4;66,0;2400;43200
kafka-02.dcs.zephyr.local;2026-08-21..2026-09-20;47,5;26,1;65,1;2350;43200
kafka-03.dcs.zephyr.local;2026-08-21..2026-09-20;49,3;27,1;67,4;2420;43200
fleet-db-01.dcs.zephyr.local;2026-08-21..2026-09-20;62,0;34,1;81,0;4100;43200
fleet-db-02.dcs.zephyr.local;2026-08-21..2026-09-20;21,0;11,6;77,0;3900;43200
rpt-01;2026-08-21..2026-09-20;12,0;6,6;45,0;300;43200
dc-01;2026-08-21..2026-09-20;8,0;4,4;35,0;60;43200
dc-02;2026-08-21..2026-09-20;7,5;4,1;33,0;55;43200
mon-01;2026-08-21..2026-09-20;35,0;19,2;60,0;700;43200
file-01;2026-08-21..2026-09-20;10,0;5,5;30,0;900;43200
jump-01;2026-08-21..2026-09-20;n/a;n/a;n/a;n/a;0
